Y_angle

88
81
75
69
63
57
51
45
39
33
28
22
16
10
4
-1
-6
-11
-16
-21
-26
-31
-36
-41
-46
-50
-55
-60
-64
-69
-74
-78
-82
-87
-90
-85
-81
-76
-72
-68
-63
-58
-53
-48
-43
-39
-35
-30
-25
-20
-15
-10
-5
0
3
6
10
13
16
19
22
26
29
32
35
39
42
45
48
51
54
57
60
63
66
70
73
76
79
82
85
88
88
80
72
64
56
48
40
33
25
17
9
1
-6
-13
-19
-26
-33
-40
-47
-54
-61
-68
-75
-82
-88
-90
-83
-76
-70
-63
-56
-50
-43
-36
-29
-22
-15
-8
-1
5
10
15
20
26
31
36
41
46
52
57
62
68
73
78
83
88
89
75
61
47
33
19
5
-8
-21
-34
-47
-60
-73
-85
-90
-77
-64
-51
-39
-27
-15
-2
10
22
33
44
56
68
79
88
72
56
40
24
8
-7
-22
-37
-52
-67
-82
-90
-75
-60
-46
-31
-17
-2
11
25
39
52
65
78
89
71
53
35
17
0
-17
-34
-51
-68
-85
-90
-73
-56
-39
-22
-5
11
27
42
57
73
88
88
68
48
28
8
-11
-30
-49
-68
-87
-90
-71
-52
-34
-15
3
21
39
56
74
88
57
26
-4
-34
-64
-90
-60
-30
0
29
57
85
88
37
-14
-64
-90
-40
9
58
88
16
-54
-90
-19
50
88
6
-75
-75
4
83
