Y_angle
80
77
74
71
68
65
62
59
56
53
50
47
44
41
39
36
33
30
27
24
21
18
15
12
9
6
4
1
-1
-2
-4
-6
-7
-9
-11
-12
-14
-16
-17
-19
-21
-22
-24
-26
-28
-30
-32
-33
-34
-36
-38
-40
-42
-43
-45
-46
-48
-50
-51
-53
-55
-57
-58
-59
-61
-63
-64
-66
-68
-69
-71
-73
-74
-75
-76
-77
-78
-79
-80
-81
-82
-83
-84
-85
-87
-88
-89
-90
-88
-87
-85
-83
-81
-80
-78
-76
-75
-74
-72
-70
-69
-68
-66
-65
-64
-63
-61
-59
-58
-56
-54
-53
-51
-49
-47
-46
-45
-44
-42
-41
-39
-38
-36
-34
-33
-32
-30
-29
-27
-25
-24
-23
-22
-21
-19
-18
-17
-15
-14
-13
-12
-10
-8
-7
-5
-4
-3
-2
0
82
78
74
70
66
62
58
54
50
46
42
38
34
30
26
22
18
14
10
6
2
-1
-4
-7
-10
-12
-15
-17
-20
-23
-26
-29
-32
-35
-38
-41
-43
-46
-48
-51
-53
-56
-58
-61
-63
-66
-69
-72
-74
-76
-78
-80
-82
-84
-87
-89
-90
-87
-85
-82
-80
-77
-75
-72
-70
-68
-65
-63
-60
-58
-56
-54
-51
-48
-46
-44
-41
-39
-36
-34
-31
-29
-27
-24
-22
-19
-17
-15
-13
-10
-8
-5
-2
0
86
82
78
74
70
66
62
58
54
50
46
42
38
34
30
26
22
18
14
10
6
2
-1
-4
-7
-10
-13
-16
-19
-22
-25
-28
-31
-33
-36
-39
-42
-45
-48
-51
-53
-56
-59
-62
-64
-67
-70
-73
-75
-77
-80
-82
-84
-87
-89
-90
-87
-85
-82
-80
-77
-75
-72
-70
-68
-65
-63
-60
-58
-56
-54
-51
-48
-46
-43
-41
-39
-36
-34
-31
-29
-27
-24
-22
-19
-16
-13
-10
-7
-5
-2
0
1
2
3
4
5
6
8
10
11
12
13
14
15
16
17
18
19
20
22
23
24
25
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
68
69
70
71
72
73
73
73
73
73
73
73
73
73
73
73
74
75
76
77
78
87
79
71
63
55
47
39
31
23
15
7
0
-7
-14
-21
-28
-35
-42
-49
-56
-63
-70
-76
-82
-89
-90
-83
-76
-70
-63
-56
-49
-42
-35
-29
-22
-15
-8
-1
4
10
15
20
25
30
35
40
45
50
55
60
65
70
75
80
85
89
76
64
52
40
28
16
4
-7
-18
-29
-40
-51
-62
-73
-84
-90
-80
-70
-59
-48
-38
-27
-17
-6
4
13
22
31
40
49
58
68
77
86
88
74
60
46
32
18
4
-9
-22
-35
-48
-61
-74
-87
-90
-77
-64
-51
-39
-27
-15
-2
10
22
33
44
55
66
77
88
88
86
84
82
80
78
76
74
72
70
68
66
64
62
60
58
56
54
52
50
48
46
44
42
40
38
36
34
32
30
28
26
24
22
20
18
16
14
12
10
8
6
4
2
0
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10
-11
-12
-13
-14
-14
-15
-16
-17
-18
-19
-20
-21
-22
-23
-24
-25
-26
-27
-28
-29
-30
-31
-32
-33
88
70
52
34
16
-1
-18
-35
-52
-69
-86
-90
-73
-56
-39
-22
-5
11
27
42
57
72
87
88
68
48
28
8
-11
-30
-49
-68
-87
-90
-71
-52
-33
-14
4
22
39
56
73
