Y_angle
85
78
71
64
57
50
43
36
29
22
15
8
1
-5
-11
-16
-22
-27
-32
-37
-42
-47
-52
-57
-62
-67
-72
-77
-82
-86
-90
-85
-80
-76
-72
-68
-63
-59
-55
-51
-47
-43
-39
-35
-31
-27
-22
-17
-12
-7
-2
2
6
10
14
18
22
26
29
32
35
38
41
44
47
50
53
56
59
62
65
68
70
73
75
78
80
82
85
87
74
62
49
36
24
12
0
-11
-22
-33
-44
-54
-64
-75
-85
-90
-80
-70
-60
-50
-40
-29
-19
-8
2
11
20
29
38
47
56
65
73
82
89
75
60
46
31
16
1
-13
-27
-40
-53
-65
-78
-90
-77
-65
-53
-41
-29
-17
-5
7
19
30
41
52
63
74
85
89
72
55
38
22
5
-11
-27
-42
-57
-72
-86
-90
-76
-61
-46
-32
-17
-2
11
25
38
51
64
76
88
70
51
32
13
-5
-23
-40
-57
-73
-89
-73
-57
-41
-24
-7
8
23
38
53
68
82
89
60
30
0
-28
-56
-84
-90
-63
-36
-8
19
45
71
89
39
-10
-58
-90
-43
4
50
89
19
-49
-90
-22
44
89
9
-68
-90
-12
64
