X,Y
465,334
463,335
463,333
467,333
475,332
487,331
504,330
527,329
553,329
582,328
619,327
655,327
693,327
727,327
753,327
776,327
797,327
821,327
839,328
858,328
873,329
886,329
899,329
909,330
917,330
925,332
931,332
937,333
941,334
942,334
942,335
943,335
942,335
937,334
933,334
929,333
923,333
916,332
907,331
898,331
887,331
877,330
865,330
853,329
839,329
821,329
805,328
784,328
763,327
740,327
717,327
692,327
672,327
651,326
630,327
609,327
590,327
571,327
557,327
545,327
534,327
523,328
513,329
505,329
496,329
491,329
484,329
479,330
474,331
470,331
467,331
465,331
464,332
464,333
464,333
464,333
464,333
464,333
465,334
465,334
463,334
469,332
490,331
525,329
576,328
635,327
701,327
755,327
801,327
842,328
877,329
905,330
922,331
934,333
942,334
942,335
941,335
931,334
917,333
895,331
867,330
834,329
789,328
744,327
691,327
641,327
593,327
557,327
524,328
496,329
479,330
467,331
464,333
464,333
467,335
464,334
471,332
499,330
545,329
611,327
692,327
761,327
818,327
867,328
902,330
923,331
938,333
942,335
940,335
925,333
904,331
872,330
831,329
781,328
729,327
665,327
604,327
553,327
513,328
486,329
469,331
464,333
465,334
467,335
464,333
479,331
519,329
587,327
671,327
753,327
819,327
873,328
909,330
931,332
943,334
942,334
937,334
919,333
887,331
843,329
783,328
717,327
641,327
574,327
523,328
487,329
468,331
465,333
467,334
465,333
486,331
542,329
628,327
727,326
803,327
867,328
909,330
933,332
943,334
934,334
912,332
872,330
814,329
740,327
655,327
579,327
523,328
484,329
465,332
464,333
467,335
472,332
549,329
698,327
827,327
907,330
942,334
942,334
922,332
857,329
744,327
603,327
502,328
465,332
467,335
518,329
751,325
911,330
942,334
877,330
680,326
490,329
467,335
600,327
893,329
941,333
805,328
504,328
467,335
652,325
927,331
941,333
761,326
469,331
